CCT,c_nombre,ASESOR,sostenimiento_c_subcontrol,tiponivelsub_c_servicion3
31ETV0043M,ESCUELA TELESECUNDARIA LEONA VICARIO,CARLOS,ESTATAL,TELESECUNDARIA
31EES0124R,ESCUELA SECUNDARIA ESTATAL NUM. 109,ALICIA,ESTATAL,GENERAL
31ETV0167V,FRANCISCO MARQUEZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0022Z,JOSE MARIA MORELOS Y PAVON,CARLOS,ESTATAL,TELESECUNDARIA
31DES0010Q,JOSE VASCONCELOS,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES0014M,EMILIANO ZAPATA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0144K,PABLO MORENO Y TRIAY,CARLOS,ESTATAL,TELESECUNDARIA
31DST0051I,ESCUELA SECUNDARIA TECNICA NUM. 51,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0073G,LOS MAYAS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0008G,JACINTO CANEK,CARLOS,ESTATAL,TELESECUNDARIA
31DST2006J,ESCUELA SECUNDARIA TECNICA NUM. 48,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0129S,JULIO RENDON ALCOCER,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0023Z,EMILIANO ZAPATA,CARLOS,ESTATAL,TELESECUNDARIA
31EES0022U,ADOLFO CISNEROS CAMARA,ALICIA,ESTATAL,GENERAL
31EES0033Z,PILAR VICTORIA Y VICTORIA,ALICIA,ESTATAL,GENERAL
31ETV0099O,YUCATAN,CARLOS,ESTATAL,TELESECUNDARIA
31DST0039N,ESCUELA SECUNDARIA TECNICA NUM. 39,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31EES0041I,BENITO JUAREZ GARCIA,ALICIA,ESTATAL,GENERAL
31ETV0013S,JUSTO SIERRA MENDEZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0071I,NIÑOS HEROES,CARLOS,ESTATAL,TELESECUNDARIA
31DST2004L,ESCUELA SECUNDARIA TECNICA NUM. 60,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0125W,MEXICO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0045K,IGNACIO MANUEL ALTAMIRANO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0046J,JOSEFA ORTIZ DE DOMINGUEZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0006I,ESCUELA TELESECUNDARIA CUITLAHUAC,CARLOS,ESTATAL,TELESECUNDARIA
31DES0025S,MARIA CANTO DE ROCHE,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES0012O,APOLINAR GARCIA Y GARCIA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0062A,MANUEL CEPEDA PERAZA,CARLOS,ESTATAL,TELESECUNDARIA
31DES0024T,VICENTE GUERRERO,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DES2013A,OMAR GUADALUPE LARA NOVELO,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0093O,VALENTIN GOMEZ FARIAS,ALICIA,ESTATAL,GENERAL
31ETV0051V,MANUEL ACUÑA,CARLOS,ESTATAL,TELESECUNDARIA
31EES0017I,22 DE FEBRERO CROC,ALICIA,ESTATAL,GENERAL
31EES0015K,ANTONIO MEDIZ BOLIO,ALICIA,ESTATAL,GENERAL
31ETV0112S,FERNANDO MONTES DE OCA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0174E,PABLO BOLIO PONCE,CARLOS,ESTATAL,TELESECUNDARIA
31EES0072B,PRUDENCIO PATRON PENICHE,ALICIA,ESTATAL,GENERAL
31EES0083H,IGNACIO ZARAGOZA,ALICIA,ESTATAL,GENERAL
31EES0091Q,SOR JUANA INES DE LA CRUZ,ALICIA,ESTATAL,GENERAL
31ETV0102L,AMADO NERVO,CARLOS,ESTATAL,TELESECUNDARIA
31DST0053G,ESCUELA SECUNDARIA TECNICA NUM. 53,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0119F,FRAY DIEGO DE LANDA,ALICIA,ESTATAL,GENERAL
